"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 12 12:09:31 AEST 2021","Sun Sep 12 12:09:31 AEST 2021","153","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","Given Get the productname colour and quantity","Given Get the productname colour and quantity",""
"passed","Sun Sep 12 12:09:03 AEST 2021","Sun Sep 12 12:09:03 AEST 2021","0","","Automation Practise dresses page: Register on the Website","","Automation Practise dresses page: Register on the Website","","",""
"passed","Sun Sep 12 12:09:03 AEST 2021","Sun Sep 12 12:09:03 AEST 2021","55","","Automation Practise dresses page: Register on the Website","","Automation Practise dresses page: Register on the Website","Then Check Name and Surname are correct after register","Then Check Name and Surname are correct after register",""
"passed","Sun Sep 12 12:08:34 AEST 2021","Sun Sep 12 12:09:03 AEST 2021","29061","","Automation Practise dresses page: Register on the Website","","Automation Practise dresses page: Register on the Website","When The user creates a account","When The user creates a account",""
"passed","Sun Sep 12 12:09:16 AEST 2021","Sun Sep 12 12:09:16 AEST 2021","0","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","","",""
"passed","Sun Sep 12 12:09:03 AEST 2021","Sun Sep 12 12:09:11 AEST 2021","7757","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","Given Signout and enter the Valid Email address and password","Given Signout and enter the Valid Email address and password",""
"passed","Sun Sep 12 12:09:31 AEST 2021","Sun Sep 12 12:09:31 AEST 2021","58","","Automation Practise dresses page: User should be successfully add the item to the cart","","Automation Practise dresses page: User should be successfully add the item to the cart","Then Validate that product is successfully added to the cart","Then Validate that product is successfully added to the cart",""
"passed","Sun Sep 12 11:45:45 AEST 2021","Sun Sep 12 11:45:45 AEST 2021","28","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","Given The user is AutomationPractise Website","Given The user is AutomationPractise Website",""
"passed","Sun Sep 12 12:09:16 AEST 2021","Sun Sep 12 12:09:16 AEST 2021","52","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","Then User should be able to login into the automation practise website","Then User should be able to login into the automation practise website",""
"passed","Sun Sep 12 12:09:24 AEST 2021","Sun Sep 12 12:09:31 AEST 2021","6266","","Automation Practise dresses page: User should be successfully add the item to the cart","","Automation Practise dresses page: User should be successfully add the item to the cart","When Click on Add to Cart","When Click on Add to Cart",""
"passed","Sun Sep 12 12:09:11 AEST 2021","Sun Sep 12 12:09:16 AEST 2021","4902","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","","Automation Practise dresses page: User should be able to signout and sigin using a valid email address","When Click on the Submit Button","When Click on the Submit Button",""
"passed","Sun Sep 12 12:09:41 AEST 2021","Sun Sep 12 12:09:41 AEST 2021","0","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","","",""
"passed","Sun Sep 12 12:09:41 AEST 2021","Sun Sep 12 12:09:41 AEST 2021","177","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","Then Validate whether same productname colour and quantity are displayed in the Summary page","Then Validate whether same productname colour and quantity are displayed in the Summary page",""
"passed","Sun Sep 12 12:09:31 AEST 2021","Sun Sep 12 12:09:41 AEST 2021","9749","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","","Automation Practise dresses page: Validate whether same product name colour and quantity are displayed in Payment Summary page","When Click on Proceed to CheckOut","When Click on Proceed to CheckOut",""
"passed","Sun Sep 12 12:09:31 AEST 2021","Sun Sep 12 12:09:31 AEST 2021","0","","Automation Practise dresses page: User should be successfully add the item to the cart","","Automation Practise dresses page: User should be successfully add the item to the cart","","",""
"passed","Sun Sep 12 12:09:16 AEST 2021","Sun Sep 12 12:09:24 AEST 2021","8309","","Automation Practise dresses page: User should be successfully add the item to the cart","","Automation Practise dresses page: User should be successfully add the item to the cart","Given Go to Dresses and click on the Summer dresses","Given Go to Dresses and click on the Summer dresses",""
"passed","Sun Sep 12 12:08:34 AEST 2021","Sun Sep 12 12:08:34 AEST 2021","21","","Automation Practise dresses page: Register on the Website","","Automation Practise dresses page: Register on the Website","Given The user is AutomationPractise Website","Given The user is AutomationPractise Website",""
